id,name,lat,lon,off_or_on_street,capacity
652321,Scott St (3201-3299),undefined,undefined,ON,7
652322,Scott St (3200-3298),undefined,undefined,ON,5
652331,Scott St (3301-3399),undefined,undefined,ON,1
652332,Scott St (3300-3398),undefined,undefined,ON,2
658011,Spear St (101-199),undefined,undefined,ON,17
658021,Spear St (201-299),undefined,undefined,ON,10
658022,Spear St (200-298),undefined,undefined,ON,14
658031,Spear St (301-399),undefined,undefined,ON,17
658041,Spear St (401-499),undefined,undefined,ON,3
663151,Steiner St (1501-1599),undefined,undefined,ON,4
663152,Steiner St (1500-1598),undefined,undefined,ON,5
663331,Steiner St (3301-3399),undefined,undefined,ON,6
663332,Steiner St (3300-3398),undefined,undefined,ON,5
664232,Stockton St (2300-2398),undefined,undefined,ON,2
665002,Steuart St (2-78),undefined,undefined,ON,3
665011,Steuart St (101-199),undefined,undefined,ON,12
665012,Steuart St (100-198),undefined,undefined,ON,2
666001,Sutter St (51-99),undefined,undefined,ON,15
666002,Sutter St (50-98),undefined,undefined,ON,7
666011,Sutter St (101-199),undefined,undefined,ON,7
666012,Sutter St (100-198),undefined,undefined,ON,16
666181,Sutter St (1801-1899),undefined,undefined,ON,2
666201,Sutter St (2001-2099),undefined,undefined,ON,18
671001,South Park (1-99),undefined,undefined,ON,9
671002,South Park (2-98),undefined,undefined,ON,11
671011,South Park (151-199),undefined,undefined,ON,13
671012,South Park (150-198),undefined,undefined,ON,8
681251,Taylor St (2501-2599),undefined,undefined,ON,11
681252,Taylor St (2500-2598),undefined,undefined,ON,8
681261,Taylor St (2601-2699),undefined,undefined,ON,10
681262,Taylor St (2600-2698),undefined,undefined,ON,11
681271,Taylor St (2701-2799),undefined,undefined,ON,6
681272,Taylor St (2700-2798),undefined,undefined,ON,6
684001,Townsend St (1-99),undefined,undefined,ON,6
684002,Townsend St (54-98),undefined,undefined,ON,4
684011,Townsend St (101-199),undefined,undefined,ON,15
684012,Townsend St (130-198),undefined,undefined,ON,4
684021,Townsend St (249-271),undefined,undefined,ON,3
684022,Townsend St (200-298),undefined,undefined,ON,12
684032,Townsend St (300-398),undefined,undefined,ON,2
689012,Tehama St (100-128),undefined,undefined,ON,2
700041,Valencia St (401-499),undefined,undefined,ON,6
700042,Valencia St (400-498),undefined,undefined,ON,13
700051,Valencia St (501-599),undefined,undefined,ON,4
700052,Valencia St (500-598),undefined,undefined,ON,10
700061,Valencia St (601-699),undefined,undefined,ON,6
700062,Valencia St (630-698),undefined,undefined,ON,2
700071,Valencia St (701-799),undefined,undefined,ON,8
700072,Valencia St (700-798),undefined,undefined,ON,8
700081,Valencia St (801-899),undefined,undefined,ON,12
700082,Valencia St (800-898),undefined,undefined,ON,10
700091,Valencia St (901-999),undefined,undefined,ON,11
700092,Valencia St (900-998),undefined,undefined,ON,12
700101,Valencia St (1001-1099),undefined,undefined,ON,12
700102,Valencia St (1000-1098),undefined,undefined,ON,8
700111,Valencia St (1101-1199),undefined,undefined,ON,12
700112,Valencia St (1100-1198),undefined,undefined,ON,10
700121,Valencia St (1201-1299),undefined,undefined,ON,19
700122,Valencia St (1200-1298),undefined,undefined,ON,15
701001,Van Ness Ave (41-99),undefined,undefined,ON,2
701002,Van Ness Ave (2-98),undefined,undefined,ON,1
701011,Van Ness Ave (101-199),undefined,undefined,ON,4
701021,Van Ness Ave (201-299),undefined,undefined,ON,0
701022,Van Ness Ave (200-298),undefined,undefined,ON,null
701031,Van Ness Ave (301-499),undefined,undefined,ON,5
701032,Van Ness Ave (300-498),undefined,undefined,ON,5
701041,Van Ness Ave (301-499),undefined,undefined,ON,4
701042,Van Ness Ave (300-498),undefined,undefined,ON,5
701051,Van Ness Ave (501-599),undefined,undefined,ON,8
701052,Van Ness Ave (500-598),undefined,undefined,ON,7
720001,Washington St (1-99),undefined,undefined,ON,9
720002,Washington St (2-98),undefined,undefined,ON,6
720011,Washington St (101-199),undefined,undefined,ON,4
720012,Washington St (100-198),undefined,undefined,ON,7
720021,Washington St (201-399),undefined,undefined,ON,1
720022,Washington St (200-398),undefined,undefined,ON,3
720032,Washington St (200-430),undefined,undefined,ON,12
720052,Washington St (500-598),undefined,undefined,ON,null
720241,Washington St (2401-2499),undefined,undefined,ON,1
720242,Washington St (2400-2498),undefined,undefined,ON,2
